gene	condition	timepoint	log2FC	mean_control	mean_treated	t_stat	p_value	p_adj	regulation	neg_log10_padj
SESN1	Drug_EC50	4h	-0.9158077239990234	21.443382263183594	20.52757453918457	-1.142715374908587	0.36445795972020917	0.7856292926745794	NS	0.10478233198057745
SESN2	Drug_EC50	4h	0.4367319742838518	20.35301462809245	20.7897466023763	0.9309353512775124	0.44864749863811393	0.7856292926745794	NS	0.10478233198057745
CDK2	Drug_EC50	4h	-0.7476666768391915	18.65957768758138	17.911911010742188	-1.0006320995185305	0.4170510966166564	0.7856292926745794	NS	0.10478233198057745
CDK4	Drug_EC50	4h	1.0464280446370466	20.726714452107746	21.773142496744793	0.8771843049350697	0.4702353033220108	0.7856292926745794	NS	0.10478233198057745
CCNE1	Drug_EC50	4h	-2.014677047729492	26.872164408365887	24.857487360636394	-1.0150311753020544	0.41563427405180625	0.7856292926745794	NS	0.10478233198057745
CCNE2	Drug_EC50	4h	-0.5198542277018241	20.202392578125	19.682538350423176	-0.8980623763316066	0.44297238772584147	0.7856292926745794	NS	0.10478233198057745
CCNA2	Drug_EC50	4h	-0.06551233927408617	20.877065022786457	20.81155268351237	-0.5078149483449804	0.6475480193658162	0.8648814664897349	NS	0.06304340927145535
E2F1	Drug_EC50	4h	3.7862669626871757	26.55531628926595	30.341583251953125	1.055100332495613	0.4018974125196807	0.7856292926745794	NS	0.10478233198057745
MYC	Drug_EC50	4h	-0.050312042236328125	23.24516423543294	23.194852193196613	-0.426447762894084	0.6992302558595866	0.9033920322974276	NS	0.044123744131631726
MCM2	Drug_EC50	4h	2.018080393473305	24.107439676920574	26.12552007039388	0.9382879147614709	0.44469987568772973	0.7856292926745794	NS	0.10478233198057745
PCNA	Drug_EC50	4h	-2.8605397542317696	24.609742482503254	21.749202728271484	-0.8461483221555648	0.4451204876081647	0.7856292926745794	NS	0.10478233198057745
HIPK2	Drug_EC50	4h	-5.249492645263672	27.08518346150716	21.83569081624349	-1.9313421237486055	0.19307620955028976	0.7856292926745794	NS	0.10478233198057745
ATM	Drug_EC50	4h	0.16604741414387902	20.756656646728516	20.922704060872395	0.8074115182883377	0.48229081741365015	0.7856292926745794	NS	0.10478233198057745
CHEK1	Drug_EC50	4h	0.3590984344482422	22.787108103434246	23.146206537882488	0.15885379153610757	0.881484235690231	0.9989851370502707	NS	0.00044097318049430743
CHEK2	Drug_EC50	4h	0.681944529215496	19.94737370808919	20.629318237304688	3.674724857410049	0.028625148710659402	0.7856292926745794	NS	0.10478233198057745
H2AX	Drug_EC50	4h	1.111297607421875	32.12948862711588	33.24078623453776	6.269004583274431	0.00940761209968853	0.7856292926745794	NS	0.10478233198057745
BCL2	Drug_EC50	4h	0.3248945871988944	19.919822692871094	20.244717280069988	1.1504237117280673	0.338925155922423	0.7856292926745794	NS	0.10478233198057745
MCL1	Drug_EC50	4h	-0.38564491271972656	20.998350143432617	20.61270523071289	-0.2504066640160833	0.8150933371555722	0.9780866562579936	NS	0.00962266600231527
PROT0000	Drug_EC50	4h	-0.008298238118491952	21.827635447184246	21.819337209065754	-0.06824342516763589	0.9505449671200749	0.9994847525761928	NS	0.00022382678101352953
PROT0001	Drug_EC50	4h	0.37866655985514086	20.144840876261394	20.523507436116535	0.7271014133993151	0.5227874288006336	0.7945097702137287	NS	0.09990075783505357
PROT0002	Drug_EC50	4h	-5.647694269816082	28.76711146036784	23.119417190551758	-2.081504860643237	0.1727332156763797	0.7856292926745794	NS	0.10478233198057745
PROT0003	Drug_EC50	4h	-0.1944624582926444	28.188114802042644	27.99365234375	-0.03331111709930763	0.9750227951481701	0.9994847525761928	NS	0.00022382678101352953
PROT0004	Drug_EC50	4h	-0.5974381764729806	22.768875122070312	22.171436945597332	-0.31190945321834634	0.7734142370025986	0.9537470764088376	NS	0.02056678030988642
PROT0005	Drug_EC50	4h	-0.03795496622721117	21.00926335652669	20.97130839029948	-0.14611188129091573	0.892182184869007	0.9994847525761928	NS	0.00022382678101352953
PROT0006	Drug_EC50	4h	-0.2509593963623047	18.46339480082194	18.212435404459637	-0.8377895766698977	0.4517054356366361	0.7856292926745794	NS	0.10478233198057745
PROT0007	Drug_EC50	4h	-1.714154561360676	24.059892018636067	22.34573745727539	-0.9910588347861478	0.425825087240643	0.7856292926745794	NS	0.10478233198057745
PROT0008	Drug_EC50	4h	-0.7498925526936837	22.499404907226562	21.74951235453288	-0.3551481425303059	0.7463752206770743	0.9338445050698458	NS	0.02972543234816633
PROT0009	Drug_EC50	4h	-0.70122464497884	22.827842712402344	22.126618067423504	-0.7408174095391306	0.5349631025631546	0.801142796799932	NS	0.09629006776717432
PROT0010	Drug_EC50	4h	0.04019419352213305	25.534765879313152	25.574960072835285	0.22072172435075837	0.8389669519284533	0.9863069480658329	NS	0.0059879074664479495
PROT0011	Drug_EC50	4h	-1.7639446258544922	26.061153411865234	24.297208786010742	-0.9361197374583058	0.4450570613413578	0.7856292926745794	NS	0.10478233198057745
PROT0012	Drug_EC50	4h	-0.18497848510742188	26.126576741536457	25.941598256429035	-1.336914723124554	0.3108113088717126	0.7856292926745794	NS	0.10478233198057745
PROT0013	Drug_EC50	4h	-0.7358392079671212	22.99492073059082	22.2590815226237	-0.34965407457911346	0.7452009091659263	0.9335432623437849	NS	0.02986555113555435
PROT0014	Drug_EC50	4h	-1.3794479370117188	21.76766077677409	20.38821283976237	-1.0145451080060468	0.41140098961333427	0.7856292926745794	NS	0.10478233198057745
PROT0015	Drug_EC50	4h	0.34557596842448035	26.69904073079427	27.04461669921875	2.02158359924708	0.1237855056032914	0.7856292926745794	NS	0.10478233198057745
PROT0016	Drug_EC50	4h	-1.2806282043457031	24.862581888834637	23.581953684488933	-0.9073921863404936	0.45768543037704557	0.7856292926745794	NS	0.10478233198057745
PROT0017	Drug_EC50	4h	-2.8210697174072266	27.623939514160156	24.80286979675293	-1.0339317000127115	0.40957330896406646	0.7856292926745794	NS	0.10478233198057745
PROT0018	Drug_EC50	4h	-0.0514094034830741	27.59112548828125	27.539716084798176	-0.24179510151864625	0.8240048213542641	0.9801378000222323	NS	0.008712861468597047
PROT0019	Drug_EC50	4h	-0.44051361083984375	20.789287567138672	20.348773956298828	-1.1314944181352677	0.3308961923021283	0.7856292926745794	NS	0.10478233198057745
PROT0020	Drug_EC50	4h	-0.08435821533203125	19.812281290690105	19.727923075358074	-0.08373460547442968	0.9372954947672058	0.9994847525761928	NS	0.00022382678101352953
PROT0021	Drug_EC50	4h	1.4930063883463518	21.11043421427409	22.60344060262044	1.0112981015809546	0.4164569840973426	0.7856292926745794	NS	0.10478233198057745
PROT0022	Drug_EC50	4h	-0.08343378702799598	21.85479736328125	21.771363576253254	-0.32123563838394426	0.7704453864086378	0.9518621616066385	NS	0.021425936896764065
PROT0023	Drug_EC50	4h	0.13213094075520715	27.106441497802734	27.23857243855794	0.8306528093231593	0.4536666844508975	0.7856292926745794	NS	0.10478233198057745
PROT0024	Drug_EC50	4h	0.25409507751464844	23.624217987060547	23.878313064575195	0.07864345712271852	0.9411014697331773	0.9994847525761928	NS	0.00022382678101352953
PROT0025	Drug_EC50	4h	0.48540242513020715	27.946712493896484	28.43211491902669	2.455774347369772	0.08578544112615281	0.7856292926745794	NS	0.10478233198057745
PROT0026	Drug_EC50	4h	-2.7604707082112654	26.268843332926433	23.508372624715168	-1.049606912740164	0.4013611314208133	0.7856292926745794	NS	0.10478233198057745
PROT0027	Drug_EC50	4h	-0.1886113484700509	25.716332753499348	25.527721405029297	-2.097497807979096	0.11105849799054647	0.7856292926745794	NS	0.10478233198057745
PROT0028	Drug_EC50	4h	-0.2643038431803397	28.6906000773112	28.42629623413086	-1.660413820739714	0.2281328633519281	0.7856292926745794	NS	0.10478233198057745
PROT0029	Drug_EC50	4h	-0.20236714680989465	26.441326141357422	26.238958994547527	-1.0767546820596685	0.3540963418993294	0.7856292926745794	NS	0.10478233198057745
PROT0030	Drug_EC50	4h	-2.7091000874837228	25.04688771565755	22.337787628173828	-1.0172840838973216	0.41476208748918325	0.7856292926745794	NS	0.10478233198057745
PROT0031	Drug_EC50	4h	-0.10119247436523438	29.48193105061849	29.380738576253254	-0.6696872491553224	0.5398383236775056	0.8027987486559551	NS	0.0953933131305376
PROT0032	Drug_EC50	4h	-0.1646245320638009	25.50735092163086	25.34272638956706	-0.6099440083416852	0.5948939375167257	0.8330108749810168	NS	0.0793493288292062
PROT0033	Drug_EC50	4h	1.3692137400309257	22.7195618947347	24.088775634765625	0.9602189294667998	0.4360925685286812	0.7856292926745794	NS	0.10478233198057745
PROT0034	Drug_EC50	4h	-0.36838277180989465	22.802227020263672	22.433844248453777	-2.838877620072461	0.07953393844049668	0.7856292926745794	NS	0.10478233198057745
PROT0035	Drug_EC50	4h	2.4978866577148438	24.42711003621419	26.924996693929035	0.903956267694317	0.46133614773247844	0.7856292926745794	NS	0.10478233198057745
PROT0036	Drug_EC50	4h	5.904325485229492	22.757022221883137	28.66134770711263	1.9334591992194397	0.19279524205156887	0.7856292926745794	NS	0.10478233198057745
PROT0037	Drug_EC50	4h	0.2899462381998674	24.76184336344401	25.05178960164388	1.1875506246234089	0.3454707863750909	0.7856292926745794	NS	0.10478233198057745
PROT0038	Drug_EC50	4h	-0.2532622019449846	25.896195729573567	25.642933527628582	-0.05700839640155945	0.9573297309865665	0.9994847525761928	NS	0.00022382678101352953
PROT0039	Drug_EC50	4h	0.003178914388023202	18.88560612996419	18.888785044352215	0.006987156968861595	0.9948172042867889	0.9997388859824018	NS	0.00011341518478224406
PROT0040	Drug_EC50	4h	1.9263337453206368	23.02651023864746	24.952843983968098	0.9579397345431342	0.4387134080188919	0.7856292926745794	NS	0.10478233198057745
PROT0041	Drug_EC50	4h	-1.7907651265462228	22.77673848470052	20.985973358154297	-0.6006977344493818	0.5806253598528703	0.8221949885418998	NS	0.08502517466735984
PROT0042	Drug_EC50	4h	1.3141231536865234	21.654448827107746	22.96857198079427	1.194250670652454	0.3383694267191235	0.7856292926745794	NS	0.10478233198057745
PROT0043	Drug_EC50	4h	4.28333854675293	27.926401138305664	32.209739685058594	1.0016265506772921	0.4219270359977395	0.7856292926745794	NS	0.10478233198057745
PROT0044	Drug_EC50	4h	2.6451339721679688	22.489728291829426	25.134862263997395	1.363936633544266	0.3043397091906324	0.7856292926745794	NS	0.10478233198057745
PROT0045	Drug_EC50	4h	0.7811457316080741	22.05735206604004	22.838497797648113	0.4089867851818263	0.7053607631085002	0.9072164155736336	NS	0.042289100064322745
PROT0046	Drug_EC50	4h	-0.023395538330078125	22.698760986328125	22.675365447998047	-0.007037080705107407	0.9947297185108327	0.9997388859824018	NS	0.00011341518478224406
PROT0047	Drug_EC50	4h	0.055136998494468514	18.98528226216634	19.04041926066081	0.1779995646490301	0.8744179844579988	0.9964877315760671	NS	0.0015280438191027576
PROT0048	Drug_EC50	4h	-1.4715105692545585	22.952463785807293	21.480953216552734	-1.017776441195145	0.41585931125050074	0.7856292926745794	NS	0.10478233198057745
PROT0049	Drug_EC50	4h	-0.1836395263671875	28.039178212483723	27.855538686116535	-1.8761069357167108	0.1345203869690379	0.7856292926745794	NS	0.10478233198057745
PROT0050	Drug_EC50	4h	0.3244107564290353	23.15425745646159	23.478668212890625	1.702477687540242	0.18047264708019423	0.7856292926745794	NS	0.10478233198057745
PROT0051	Drug_EC50	4h	2.8613147735595703	19.940451939900715	22.801766713460285	2.0218692673901626	0.17630983084418106	0.7856292926745794	NS	0.10478233198057745
PROT0052	Drug_EC50	4h	-2.882092157999672	28.978768666585285	26.096676508585613	-0.9571169315197844	0.439351976428212	0.7856292926745794	NS	0.10478233198057745
PROT0053	Drug_EC50	4h	3.210793177286785	25.689990361531574	28.90078353881836	1.009714312000234	0.4181999054094916	0.7856292926745794	NS	0.10478233198057745
PROT0054	Drug_EC50	4h	-0.1466191609700509	26.778060913085938	26.631441752115887	-0.594418951731838	0.5964264702134564	0.8333230012396856	NS	0.07918663068651491
PROT0055	Drug_EC50	4h	1.5045693715413435	22.125495274861652	23.630064646402996	0.9626748278510875	0.43713675808432423	0.7856292926745794	NS	0.10478233198057745
PROT0056	Drug_EC50	4h	-0.05908966064453125	24.236548105875652	24.17745844523112	-0.16317461711608636	0.8807559741910914	0.9989851370502707	NS	0.00044097318049430743
PROT0057	Drug_EC50	4h	0.42677625020344934	21.198352813720703	21.625129063924152	0.26499812893289365	0.8044761934605281	0.9738977698012907	NS	0.011486628687436641
PROT0058	Drug_EC50	4h	1.3620974222819022	20.841317494710285	22.203414916992188	1.1034872358970733	0.3793225868903098	0.7856292926745794	NS	0.10478233198057745
PROT0059	Drug_EC50	4h	1.1354624430338554	20.976414998372395	22.11187744140625	1.5301453157844787	0.26330643023994876	0.7856292926745794	NS	0.10478233198057745
PROT0060	Drug_EC50	4h	-1.1179828643798828	23.065099080403645	21.947116216023762	-0.8354884277573745	0.48962375784603596	0.7856292926745794	NS	0.10478233198057745
PROT0061	Drug_EC50	4h	0.028298695882163827	21.833367665608723	21.861666361490887	0.17177746599682545	0.8732805143304926	0.9963268845755763	NS	0.001598150656265999
PROT0062	Drug_EC50	4h	0.30088297526041785	20.158288319905598	20.459171295166016	1.6988978408196267	0.1715003887730063	0.7856292926745794	NS	0.10478233198057745
PROT0063	Drug_EC50	4h	-2.1434084574381522	25.79353968302409	23.650131225585938	-1.0008266460406456	0.42203734845225177	0.7856292926745794	NS	0.10478233198057745
PROT0064	Drug_EC50	4h	4.4274737040201835	21.439411163330078	25.86688486735026	2.084321494216945	0.1705870709538876	0.7856292926745794	NS	0.10478233198057745
PROT0065	Drug_EC50	4h	0.0983988444010393	30.00301996866862	30.10141881306966	0.5516513679374823	0.6189274177152083	0.8455292591737819	NS	0.07287135923376853
PROT0066	Drug_EC50	4h	1.1431414286295585	21.828502655029297	22.971644083658855	0.8210677027500601	0.4976654195147899	0.7862012946521167	NS	0.10446624535463817
PROT0067	Drug_EC50	4h	2.5849946339925154	23.28734525044759	25.872339884440105	1.094417951157654	0.3877033028432276	0.7856292926745794	NS	0.10478233198057745
PROT0068	Drug_EC50	4h	-1.670641581217449	23.333519617716473	21.662878036499023	-0.48860078095810755	0.6513050938045043	0.8659570974928884	NS	0.06250362389910322
PROT0069	Drug_EC50	4h	-0.1552734375	24.38282521565755	24.22755177815755	-1.2874148800288736	0.30795323716403744	0.7856292926745794	NS	0.10478233198057745
PROT0070	Drug_EC50	4h	3.170283635457359	24.225344975789387	27.395628611246746	1.0322263436368502	0.41011339689623966	0.7856292926745794	NS	0.10478233198057745
PROT0071	Drug_EC50	4h	-0.2578010559082031	27.60544713338216	27.347646077473957	-3.6111411307249086	0.025262436883163288	0.7856292926745794	NS	0.10478233198057745
PROT0072	Drug_EC50	4h	-2.4947446187337263	26.23487726847331	23.740132649739582	-1.044669609555734	0.4034124602469962	0.7856292926745794	NS	0.10478233198057745
PROT0073	Drug_EC50	4h	-0.10442988077799242	24.181268056233723	24.07683817545573	-0.39589085248164646	0.7176619862739827	0.9174330281546599	NS	0.03742562905348284
PROT0074	Drug_EC50	4h	1.82695706685384	22.119951248168945	23.946908315022785	1.1505705399235189	0.3664212088298718	0.7856292926745794	NS	0.10478233198057745
PROT0075	Drug_EC50	4h	0.19821039835611742	20.26754633585612	20.46575673421224	0.23066027096840885	0.8319856169096558	0.9837252343005093	NS	0.0071261880428069874
PROT0076	Drug_EC50	4h	-1.0088284810384103	22.579402923583984	21.570574442545574	-0.9202347503454984	0.4543708816447236	0.7856292926745794	NS	0.10478233198057745
PROT0077	Drug_EC50	4h	0.08068211873372633	23.305531819661457	23.386213938395183	1.2056252227798783	0.30186360576482885	0.7856292926745794	NS	0.10478233198057745
PROT0078	Drug_EC50	4h	-0.881529490152996	21.65859858194987	20.777069091796875	-0.9561726344248855	0.42990487273757944	0.7856292926745794	NS	0.10478233198057745
PROT0079	Drug_EC50	4h	-1.954130808512371	26.55426279703776	24.60013198852539	-1.018942014576486	0.41442059857491786	0.7856292926745794	NS	0.10478233198057745
PROT0080	Drug_EC50	4h	4.041116714477539	22.533559163411457	26.574675877888996	1.0493316945094817	0.3568877721879092	0.7856292926745794	NS	0.10478233198057745
PROT0081	Drug_EC50	4h	-0.15377298990885535	22.344924926757812	22.191151936848957	-0.7711059904859575	0.49179776118192725	0.7856292926745794	NS	0.10478233198057745
PROT0082	Drug_EC50	4h	-2.426117579142254	25.852789560953777	23.426671981811523	-0.9708980034554926	0.4336596682134844	0.7856292926745794	NS	0.10478233198057745
PROT0083	Drug_EC50	4h	-0.2820040384928397	22.01600519816081	21.73400115966797	-2.801098041465286	0.06985459677008772	0.7856292926745794	NS	0.10478233198057745
PROT0084	Drug_EC50	4h	0.4042930603027344	22.22787030537923	22.632163365681965	0.18400450657270545	0.8648070402976187	0.9932563273241032	NS	0.0029386596849421604
PROT0085	Drug_EC50	4h	1.6706066131591797	21.454572677612305	23.125179290771484	1.037370406047628	0.40712764120835976	0.7856292926745794	NS	0.10478233198057745
PROT0086	Drug_EC50	4h	2.5815385182698556	24.3085994720459	26.890137990315754	1.0175739823523755	0.4149925212561041	0.7856292926745794	NS	0.10478233198057745
PROT0087	Drug_EC50	4h	-2.1664066314697266	22.860488891601562	20.694082260131836	-2.0876092216683144	0.16958167604971355	0.7856292926745794	NS	0.10478233198057745
PROT0088	Drug_EC50	4h	2.915797551472984	25.320018132527668	28.235815684000652	1.088531758496884	0.38854096445575137	0.7856292926745794	NS	0.10478233198057745
PROT0089	Drug_EC50	4h	-0.9564234415690116	24.10528564453125	23.14886220296224	-0.798781792168475	0.5068897055199071	0.7894762328877994	NS	0.10266093985587474
PROT0090	Drug_EC50	4h	0.053592681884765625	22.964584350585938	23.018177032470703	0.4287046489312428	0.6903179473340316	0.8959350387203525	NS	0.04772347844954294
PROT0091	Drug_EC50	4h	0.16347694396972656	20.72484525044759	20.888322194417317	0.6107807370012798	0.5975179911777293	0.8333230012396856	NS	0.07918663068651491
PROT0092	Drug_EC50	4h	0.029257456461589726	25.741723378499348	25.770980834960938	0.14663438783012198	0.8923585423328527	0.9994847525761928	NS	0.00022382678101352953
PROT0093	Drug_EC50	4h	2.8801949818929025	22.271955490112305	25.152150472005207	0.8013266855905151	0.46826212676759005	0.7856292926745794	NS	0.10478233198057745
PROT0094	Drug_EC50	4h	-2.0388533274332694	23.926767985026043	21.887914657592773	-0.7334149487379689	0.5040132992895145	0.7873492178614073	NS	0.10383259959631355
PROT0095	Drug_EC50	4h	3.494842529296875	28.044755299886067	31.53959782918294	0.9247294167720342	0.452528097653045	0.7856292926745794	NS	0.10478233198057745
PROT0096	Drug_EC50	4h	-3.1201311747233085	29.234806060791016	26.114674886067707	-1.0178363957694951	0.41583865932468583	0.7856292926745794	NS	0.10478233198057745
PROT0097	Drug_EC50	4h	-1.4189287821451835	24.027971903483074	22.60904312133789	-0.9771475795974638	0.4295798737933752	0.7856292926745794	NS	0.10478233198057745
PROT0098	Drug_EC50	4h	0.021253585815429688	22.26494026184082	22.28619384765625	0.008534365755992417	0.9936172249322568	0.9997388859824018	NS	0.00011341518478224406
PROT0099	Drug_EC50	4h	2.1784744262695312	24.009236653645832	26.187711079915363	0.9487897176232563	0.4424589377495065	0.7856292926745794	NS	0.10478233198057745
PROT0100	Drug_EC50	4h	-1.0035959879557304	22.553272247314453	21.549676259358723	-1.2881529547083161	0.32319772752071585	0.7856292926745794	NS	0.10478233198057745
PROT0101	Drug_EC50	4h	5.910104751586914	22.793189366658527	28.70329411824544	1.8739768410697808	0.20137626139169626	0.7856292926745794	NS	0.10478233198057745
PROT0102	Drug_EC50	4h	-0.5641924540201835	22.024707794189453	21.46051534016927	-0.16804332473627967	0.8747494308803041	0.9965815219371166	NS	0.0014871695381737011
PROT0103	Drug_EC50	4h	-0.013051350911460702	25.805399576822918	25.792348225911457	-0.062327078234290303	0.9554536327832691	0.9994847525761928	NS	0.00022382678101352953
PROT0104	Drug_EC50	4h	-0.06601715087890625	27.18856938680013	27.122552235921223	-0.4554920955568579	0.6901377767994901	0.8959350387203525	NS	0.04772347844954294
PROT0105	Drug_EC50	4h	-0.012212117513019649	30.293052673339844	30.280840555826824	-0.05814154236659853	0.9565043795599802	0.9994847525761928	NS	0.00022382678101352953
PROT0106	Drug_EC50	4h	2.117940266927082	23.287498474121094	25.405438741048176	0.9718780073837898	0.43293536245504227	0.7856292926745794	NS	0.10478233198057745
PROT0107	Drug_EC50	4h	-1.9146486918131522	24.63703155517578	22.72238286336263	-1.1856513474761008	0.3574157582425966	0.7856292926745794	NS	0.10478233198057745
PROT0108	Drug_EC50	4h	9.73791948954264	19.818085352579754	29.556004842122395	65.25914228281286	0.00015017527165111556	0.3763764593431856	NS	0.4243775475643015
PROT0109	Drug_EC50	4h	2.7817649841308594	25.294144948323567	28.075909932454426	1.126120191438053	0.3766711466363081	0.7856292926745794	NS	0.10478233198057745
PROT0110	Drug_EC50	4h	1.6471818288167341	22.484958012898762	24.132139841715496	1.1400682975262797	0.3683860478983936	0.7856292926745794	NS	0.10478233198057745
PROT0111	Drug_EC50	4h	1.9617424011230469	23.395565032958984	25.35730743408203	1.2307950350260466	0.34297673057517103	0.7856292926745794	NS	0.10478233198057745
PROT0112	Drug_EC50	4h	-2.288421630859375	25.83758036295573	23.549158732096355	-1.0324175597502503	0.40930811967184494	0.7856292926745794	NS	0.10478233198057745
PROT0113	Drug_EC50	4h	2.3243891398111955	23.667193094889324	25.99158223470052	0.872887524232172	0.47394606348583124	0.7856292926745794	NS	0.10478233198057745
PROT0114	Drug_EC50	4h	0.5567156473795549	20.452219645182293	21.008935292561848	1.4583320654439342	0.27120323634765625	0.7856292926745794	NS	0.10478233198057745
PROT0115	Drug_EC50	4h	0.6334457397460938	19.834484100341797	20.46792984008789	1.213814181003319	0.33737369064059963	0.7856292926745794	NS	0.10478233198057745
PROT0116	Drug_EC50	4h	1.543568293253582	19.576427459716797	21.11999575297038	1.165610442359638	0.34204327786857663	0.7856292926745794	NS	0.10478233198057745
PROT0117	Drug_EC50	4h	0.1340154012044259	21.956766764322918	22.090782165527344	0.6384999389116205	0.5599379674040708	0.8109895333232523	NS	0.09098475078180115
PROT0118	Drug_EC50	4h	-0.04862022399902344	21.764304478963215	21.71568425496419	-0.02732978963404111	0.9795271224711756	0.9994847525761928	NS	0.00022382678101352953
PROT0119	Drug_EC50	4h	-0.19169743855794152	24.74711736043294	24.555419921875	-0.054767118280232105	0.9589519287313569	0.9994847525761928	NS	0.00022382678101352953
PROT0120	Drug_EC50	4h	-1.6321544647216797	24.444353739420574	22.812199274698894	-1.040503635049245	0.4062472191229873	0.7856292926745794	NS	0.10478233198057745
PROT0121	Drug_EC50	4h	0.3574155171712263	25.450311024983723	25.80772654215495	1.2242379167762354	0.3123873232454895	0.7856292926745794	NS	0.10478233198057745
PROT0122	Drug_EC50	4h	0.8288555145263672	20.410954157511394	21.23980967203776	0.9161918581248228	0.4524468098779443	0.7856292926745794	NS	0.10478233198057745
PROT0123	Drug_EC50	4h	-2.9588063557942696	23.747920989990234	20.789114634195965	-2.081607565121326	0.17202871159767452	0.7856292926745794	NS	0.10478233198057745
PROT0124	Drug_EC50	4h	2.523346583048504	24.277259190877277	26.80060577392578	0.9608413493759944	0.4379233480079929	0.7856292926745794	NS	0.10478233198057745
PROT0125	Drug_EC50	4h	0.04289817810058594	24.332804361979168	24.375702540079754	0.012669622675705245	0.9905023312126371	0.9994847525761928	NS	0.00022382678101352953
PROT0126	Drug_EC50	4h	0.20978418986002723	21.652976353963215	21.862760543823242	0.12690706521708545	0.9051645598838718	0.9994847525761928	NS	0.00022382678101352953
PROT0127	Drug_EC50	4h	2.2139441172281913	23.37309455871582	25.58703867594401	1.0206592250846886	0.41477621182007157	0.7856292926745794	NS	0.10478233198057745
PROT0128	Drug_EC50	4h	-3.8570531209309884	31.572438557942707	27.71538543701172	-1.0868562805237134	0.3901403470593011	0.7856292926745794	NS	0.10478233198057745
PROT0129	Drug_EC50	4h	-0.2896747589111328	23.356414794921875	23.066740036010742	-0.12633504223780914	0.9059485626971954	0.9994847525761928	NS	0.00022382678101352953
PROT0130	Drug_EC50	4h	0.22557703653971473	21.389719009399414	21.61529604593913	0.11909725110587445	0.9115567648826787	0.9994847525761928	NS	0.00022382678101352953
PROT0131	Drug_EC50	4h	-1.5986690521240234	22.729408264160156	21.130739212036133	-0.7405194702983319	0.5001793750809231	0.7871183877415154	NS	0.10395994200423304
PROT0132	Drug_EC50	4h	-2.1022109985351562	25.31167221069336	23.209461212158203	-1.0007245369014175	0.42174734863724067	0.7856292926745794	NS	0.10478233198057745
PROT0133	Drug_EC50	4h	-1.6933403015136719	22.92696698506673	21.23362668355306	-0.661172939427957	0.5450185685682604	0.803135444620849	NS	0.09521120703629396
PROT0134	Drug_EC50	4h	0.2711957295735701	24.796529134114582	25.067724863688152	1.8359677777134453	0.14037042490457316	0.7856292926745794	NS	0.10478233198057745
PROT0135	Drug_EC50	4h	-0.7937189737955705	20.676289876302082	19.88257090250651	-1.0502893545419614	0.3949348440422134	0.7856292926745794	NS	0.10478233198057745
PROT0136	Drug_EC50	4h	-0.5715007781982422	21.954793294270832	21.38329251607259	-0.6422066497802064	0.5799147876320476	0.8219911943756876	NS	0.08513283483772598
PROT0137	Drug_EC50	4h	-0.27521514892578125	24.686012268066406	24.410797119140625	-1.0122963709905213	0.36924924290822675	0.7856292926745794	NS	0.10478233198057745
PROT0138	Drug_EC50	4h	0.40550740559895715	24.24780527750651	24.65331268310547	2.720852332828201	0.05358736727352371	0.7856292926745794	NS	0.10478233198057745
PROT0139	Drug_EC50	4h	0.37926928202311316	22.658538182576496	23.03780746459961	0.40615606508139823	0.7238690683637742	0.9195205244102532	NS	0.03643857252852808
